ID;Nachname;Vorname;Klasse;Geburtsdatum;E-Mail
1613;Beach;Patrick;1a;20.09.2019;P.Beach@meineschule.de
1633;Borchers;Dominik;1a;20.12.2018;D.Borchers@meineschule.de
1645;Brocke;Alexander;1a;03.07.2019;A.Brocke@meineschule.de
1659;Budde;Jan;1a;27.09.2019;J.Budde@meineschule.de
1637;Burtenbach;Christin;1a;21.09.2019;C.Burtenbach@meineschule.de
1630;Clausdatter;Katharina;1a;17.11.2019;K.Clausdatter@meineschule.de
1616;Einenkel;Florian;1a;01.10.2019;F.Einenkel@meineschule.de
1655;Fölkersamb;Phillipp;1a;17.07.2019;P.Fölkersamb@meineschule.de
1651;Hesse;Klaudia;1a;11.12.2019;K.Hesse@meineschule.de
1665;Hilbers;Kathrin, Katrin;1a;20.01.2019;K.Hilbers@meineschule.de
1636;Hoff;Ute;1a;24.01.2019;U.Hoff@meineschule.de
1612;Hofmann;Klaudia;1a;27.11.2019;K.Hofmann@meineschule.de
1615;Jürgensen;Susanne;1a;20.06.2019;S.Jürgensen@meineschule.de
1622;Knodel;Andreas;1a;31.07.2019;A.Knodel@meineschule.de
1649;Köcher;Andreas;1a;13.09.2019;A.Köcher@meineschule.de
1639;Kroß;Anne;1a;09.04.2019;A.Kroß@meineschule.de
1624;McClendon;Thorsten;1a;18.05.2019;T.McClendon@meineschule.de
1638;Mettenheim;Kristian;1a;05.02.2019;K.Mettenheim@meineschule.de
1621;Meyer;Benjamin;1a;14.09.2019;B.Meyer@meineschule.de
1619;Rodrian;Ute;1a;20.01.2019;U.Rodrian@meineschule.de
1634;Saint;Phillipp;1a;27.11.2018;P.Saint@meineschule.de
1666;Söncksen;Anne;1a;27.04.2019;A.Söncksen@meineschule.de
1658;Stasiak;Monika;1a;17.03.2019;M.Stasiak@meineschule.de
1644;Stremmel;Sven;1a;30.12.2019;S.Stremmel@meineschule.de
1627;Valentin;Erik;1a;04.09.2019;E.Valentin@meineschule.de
1641;Vanselow;Marie;1a;25.11.2019;M.Vanselow@meineschule.de
1663;Willmes;Ulrich;1a;16.09.2019;U.Willmes@meineschule.de
1647;Würfel;Brigitte;1a;07.05.2019;B.Würfel@meineschule.de
1653;Bassewitz;Sven;1b;09.07.2019;S.Bassewitz@meineschule.de
